type,subtype,bedroomCount,bathroomCount,postCode,habitableSurface,hasBasement,hasDressingRoom,buildingCondition,buildingConstructionYear,facedeCount,hasLift,floodZoneType,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenType,landSurface,livingRoomSurface,gardenSurface,parkingCountIndoor,parkingCountOutdoor,hasAirConditioning,hasArmoredDoor,hasVisiophone,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,hasTerrace,terraceSurface,price,epc_kwh
0,4.0,2.0,1.0,4087.0,100.0,1,0,3.0,2004.0,1.0,1,7.0,5.0,0,0,0,1,0.0,35.0,0.0,1.0,0.0,0,0,1,0,1.0,0,0,1,7.0,399000.0,175.0
0,4.0,2.0,2.0,4087.0,104.0,0,0,5.0,2018.0,3.0,1,1.0,5.0,0,0,0,6,0.0,38.0,0.0,0.0,0.0,0,1,1,0,2.0,0,0,1,3.0,590000.0,125.0
0,4.0,1.0,1.0,4087.0,71.0,0,0,5.0,1906.0,2.0,0,7.0,5.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0.0,289000.0,325.0
0,4.0,2.0,1.0,4087.0,187.0,0,0,5.0,2023.0,3.0,1,7.0,5.0,0,0,0,6,0.0,0.0,0.0,0.0,1.0,0,0,1,1,2.0,0,0,1,25.0,795000.0,175.0
0,4.0,1.0,1.0,4087.0,93.0,1,0,2.0,1947.0,2.0,1,7.0,3.0,0,0,0,4,0.0,42.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0,1,5.0,297000.0,425.0
0,4.0,3.0,1.0,4087.0,119.0,1,0,1.0,1944.0,2.0,1,7.0,5.0,0,0,0,0,0.0,39.0,0.0,0.0,0.0,0,1,1,0,1.0,0,0,1,2.0,370000.0,325.0
0,4.0,2.0,1.0,4087.0,137.0,1,0,5.0,2024.0,2.0,1,7.0,5.0,0,0,0,6,0.0,56.0,0.0,0.0,0.0,0,1,1,0,1.0,0,0,1,37.0,735000.0,125.0
0,4.0,1.0,1.0,4087.0,61.0,1,0,5.0,2015.0,2.0,1,7.0,5.0,0,0,0,6,0.0,0.0,20.0,0.0,0.0,0,0,1,0,1.0,0,0,1,9.0,329000.0,175.0
0,4.0,2.0,1.0,4087.0,106.0,0,0,3.0,1994.0,3.0,1,7.0,5.0,0,0,0,6,0.0,31.0,0.0,0.0,0.0,0,0,1,0,1.0,0,0,1,37.0,350000.0,225.0
0,4.0,2.0,1.0,4087.0,187.0,0,0,4.0,1912.0,3.0,1,7.0,5.0,0,0,0,6,0.0,70.0,0.0,0.0,0.0,0,1,1,1,3.0,0,0,1,25.0,795000.0,175.0
0,4.0,1.0,1.0,4087.0,52.0,0,0,1.0,1933.0,2.0,0,7.0,5.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1.0,0,0,0,0.0,198000.0,525.0
0,4.0,3.0,1.0,4087.0,229.0,1,1,3.0,1932.0,2.0,1,7.0,5.0,0,0,0,7,0.0,0.0,0.0,1.0,0.0,0,1,0,0,2.0,0,1,1,45.0,739000.0,225.0
1,7.0,3.0,1.0,4087.0,277.0,1,0,1.0,1920.0,2.0,0,7.0,5.0,0,0,0,1,90.0,0.0,0.0,0.0,0.0,0,0,1,1,4.0,0,0,0,0.0,660000.0,425.0
0,4.0,1.0,1.0,4087.0,65.0,1,0,4.0,1955.0,2.0,1,7.0,5.0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1.0,0,0,1,8.0,325000.0,425.0
0,4.0,1.0,1.0,4087.0,80.0,0,0,1.0,1909.0,2.0,0,7.0,5.0,0,0,0,4,0.0,30.0,50.0,0.0,0.0,0,0,1,1,1.0,0,0,1,12.0,230000.0,425.0
0,4.0,2.0,1.0,4087.0,101.0,1,0,5.0,2018.0,3.0,1,7.0,5.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0,1,1,0,2.0,0,0,0,0.0,425000.0,175.0
1,11.0,3.0,1.0,4087.0,178.0,1,0,1.0,1899.0,2.0,0,7.0,5.0,0,0,0,1,70.0,20.0,0.0,0.0,0.0,0,0,0,1,2.0,0,0,1,10.0,549000.0,325.0
0,4.0,2.0,1.0,4087.0,100.0,1,0,2.0,1956.0,2.0,1,7.0,5.0,0,0,0,1,0.0,30.0,0.0,0.0,0.0,0,1,1,0,1.0,0,0,1,0.0,315000.0,425.0
0,4.0,3.0,3.0,4087.0,183.0,1,0,3.0,1990.0,2.0,1,7.0,5.0,0,0,0,6,0.0,55.0,0.0,1.0,0.0,0,0,1,0,4.0,0,0,1,16.0,795000.0,175.0
0,4.0,2.0,1.0,4087.0,82.0,1,0,1.0,1959.0,3.0,0,4.0,5.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0,0,0.0,330000.0,425.0
1,4.0,5.0,3.0,4087.0,240.0,1,0,5.0,1920.0,2.0,0,7.0,5.0,0,0,0,6,65.0,22.0,0.0,0.0,0.0,0,0,1,0,5.0,0,0,1,8.0,779000.0,525.0
0,4.0,1.0,1.0,4087.0,75.0,0,0,5.0,1977.0,2.0,1,7.0,5.0,0,0,0,6,0.0,30.0,0.0,0.0,0.0,0,1,1,0,1.0,0,0,1,3.0,255000.0,225.0
0,4.0,2.0,2.0,4087.0,115.0,1,0,2.0,1933.0,3.0,1,7.0,5.0,0,0,0,6,0.0,20.0,0.0,0.0,0.0,0,0,1,0,2.0,0,0,1,5.0,395000.0,175.0
1,4.0,2.0,1.0,4087.0,90.0,1,0,3.0,1910.0,2.0,0,7.0,5.0,0,0,0,6,40.0,0.0,0.0,0.0,0.0,0,0,0,0,2.0,0,0,0,0.0,375000.0,425.0
